language	translation_id	chapter	mode	dist_interlinear
eng	berean-literal-bible	1CO 1	Literal	0.2858231892261998
eng	berean-literal-bible	1CO 10	Literal	0.290614056585132
eng	berean-literal-bible	1CO 11	Literal	0.28584469217014336
eng	berean-literal-bible	1CO 12	Literal	0.2513099832718807
eng	berean-literal-bible	1CO 13	Literal	0.3054335270105536
eng	berean-literal-bible	1CO 14	Literal	0.2830829316225483
eng	berean-literal-bible	1CO 15	Literal	0.28844038073881734
eng	berean-literal-bible	1CO 16	Literal	0.28163576778305643
eng	berean-literal-bible	1CO 2	Literal	0.3141989389313423
eng	berean-literal-bible	1CO 3	Literal	0.3011601340142784
eng	berean-literal-bible	1CO 4	Literal	0.2716618030521259
eng	berean-literal-bible	1CO 5	Literal	0.2426829234385622
eng	berean-literal-bible	1CO 6	Literal	0.2585665343248712
eng	berean-literal-bible	1CO 7	Literal	0.24882557325382423
eng	berean-literal-bible	1CO 8	Literal	0.23629177355269548
eng	berean-literal-bible	1CO 9	Literal	0.2597703226664872
eng	berean-literal-bible	1JN 1	Literal	0.3696253307530099
eng	berean-literal-bible	1JN 2	Literal	0.31868623753141956
eng	berean-literal-bible	1JN 3	Literal	0.31728735095191757
eng	berean-literal-bible	1JN 4	Literal	0.307414071146634
eng	berean-literal-bible	1JN 5	Literal	0.3024291263009779
eng	berean-literal-bible	1PE 1	Literal	0.31386825133370283
eng	berean-literal-bible	1PE 2	Literal	0.26577597984396073
eng	berean-literal-bible	1PE 3	Literal	0.2975123163834486
eng	berean-literal-bible	1PE 4	Literal	0.3198433159856143
eng	berean-literal-bible	1PE 5	Literal	0.3146732389709994
eng	berean-literal-bible	1TH 1	Literal	0.3052402234568344
eng	berean-literal-bible	1TH 2	Literal	0.25461165154585647
eng	berean-literal-bible	1TH 3	Literal	0.2310170191362735
eng	berean-literal-bible	1TH 4	Literal	0.2555245977129593
eng	berean-literal-bible	1TH 5	Literal	0.30470435574863874
eng	berean-literal-bible	1TI 1	Literal	0.31203735005913624
eng	berean-literal-bible	1TI 2	Literal	0.27165950513182296
eng	berean-literal-bible	1TI 3	Literal	0.2523389950025834
eng	berean-literal-bible	1TI 4	Literal	0.3376687687955949
eng	berean-literal-bible	1TI 5	Literal	0.25407372423542945
eng	berean-literal-bible	1TI 6	Literal	0.2681258126625673
eng	berean-literal-bible	2CO 1	Literal	0.30037695439224993
eng	berean-literal-bible	2CO 10	Literal	0.278048164497724
eng	berean-literal-bible	2CO 11	Literal	0.2621002621563178
eng	berean-literal-bible	2CO 12	Literal	0.27383221380343636
eng	berean-literal-bible	2CO 13	Literal	0.37600956663768914
eng	berean-literal-bible	2CO 2	Literal	0.28956345559973456
eng	berean-literal-bible	2CO 3	Literal	0.26203398866840505
eng	berean-literal-bible	2CO 4	Literal	0.3099186986097928
eng	berean-literal-bible	2CO 5	Literal	0.34198391057768235
eng	berean-literal-bible	2CO 6	Literal	0.3204715815614179
eng	berean-literal-bible	2CO 7	Literal	0.27214546205270107
eng	berean-literal-bible	2CO 8	Literal	0.2903766794813634
eng	berean-literal-bible	2CO 9	Literal	0.40413645572956974
eng	berean-literal-bible	2JN 1	Literal	0.33277351054002713
eng	berean-literal-bible	2PE 1	Literal	0.2814267976038986
eng	berean-literal-bible	2PE 2	Literal	0.2511979417763615
eng	berean-literal-bible	2PE 3	Literal	0.37828661364146443
eng	berean-literal-bible	2TH 1	Literal	0.33800868827080494
eng	berean-literal-bible	2TH 2	Literal	0.28469235290342254
eng	berean-literal-bible	2TH 3	Literal	0.3888914039256067
eng	berean-literal-bible	2TI 1	Literal	0.31423889605702826
eng	berean-literal-bible	2TI 2	Literal	0.3165471370277687
eng	berean-literal-bible	2TI 3	Literal	0.2799827116712074
eng	berean-literal-bible	2TI 4	Literal	0.30585154032619266
eng	berean-literal-bible	3JN 1	Literal	0.31950635730949334
eng	berean-literal-bible	ACT 1	Literal	0.32074954454363946
eng	berean-literal-bible	ACT 10	Literal	0.2271456541251412
eng	berean-literal-bible	ACT 11	Literal	0.2578277418497344
eng	berean-literal-bible	ACT 12	Literal	0.18890169927850492
eng	berean-literal-bible	ACT 13	Literal	0.21837250107230835
eng	berean-literal-bible	ACT 14	Literal	0.21545274384576296
eng	berean-literal-bible	ACT 15	Literal	0.28043953874053484
eng	berean-literal-bible	ACT 16	Literal	0.2127068850904222
eng	berean-literal-bible	ACT 17	Literal	0.2570534225100251
eng	berean-literal-bible	ACT 18	Literal	0.2071287880795486
eng	berean-literal-bible	ACT 19	Literal	0.30346013217579143
eng	berean-literal-bible	ACT 2	Literal	0.2400655290544593
eng	berean-literal-bible	ACT 20	Literal	0.2382083362931716
eng	berean-literal-bible	ACT 21	Literal	0.24265313611593606
eng	berean-literal-bible	ACT 22	Literal	0.4013165024455934
eng	berean-literal-bible	ACT 23	Literal	0.24211578222319596
eng	berean-literal-bible	ACT 24	Literal	0.21954591688746966
eng	berean-literal-bible	ACT 25	Literal	0.20437121986950885
eng	berean-literal-bible	ACT 26	Literal	0.3148437222331335
eng	berean-literal-bible	ACT 27	Literal	0.21621405354191414
eng	berean-literal-bible	ACT 28	Literal	0.22392188093565757
eng	berean-literal-bible	ACT 3	Literal	0.27594946197436454
eng	berean-literal-bible	ACT 4	Literal	0.2189396520390123
eng	berean-literal-bible	ACT 5	Literal	0.21174591520832586
eng	berean-literal-bible	ACT 6	Literal	0.2083202176164595
eng	berean-literal-bible	ACT 7	Literal	0.32765822597051414
eng	berean-literal-bible	ACT 8	Literal	0.21091708249030586
eng	berean-literal-bible	ACT 9	Literal	0.30907841759856813
eng	berean-literal-bible	COL 1	Literal	0.2942022023527154
eng	berean-literal-bible	COL 2	Literal	0.2668743862297732
eng	berean-literal-bible	COL 3	Literal	0.32189913392033925
eng	berean-literal-bible	COL 4	Literal	0.38259210131254484
eng	berean-literal-bible	EPH 1	Literal	0.2838577813279733
eng	berean-literal-bible	EPH 2	Literal	0.2676314941167045
eng	berean-literal-bible	EPH 3	Literal	0.2943170671171037
eng	berean-literal-bible	EPH 4	Literal	0.2536621261438885
eng	berean-literal-bible	EPH 5	Literal	0.29332005609689726
eng	berean-literal-bible	EPH 6	Literal	0.32575460913188603
eng	berean-literal-bible	GAL 1	Literal	0.2824494161890872
eng	berean-literal-bible	GAL 2	Literal	0.28345083465281795
eng	berean-literal-bible	GAL 3	Literal	0.30888375511405586
eng	berean-literal-bible	GAL 4	Literal	0.3031179684255707
eng	berean-literal-bible	GAL 5	Literal	0.3047381401323809
eng	berean-literal-bible	GAL 6	Literal	0.337993343251824
