language	translation_a	translation_b	U	p_raw	p_bonferroni
eng	berean-literal-bible	disciples-literal-new-testament	26142.0	3.915142046867046e-6	0.0009396340912480911
eng	berean-literal-bible	literal-standard-version	16887.0	2.7521157251301955e-23	6.605077740312469e-21
eng	berean-literal-bible	eng-new-world-translation	9657.0	2.1188903620572232e-45	5.085336868937336e-43
eng	berean-literal-bible	english-standard-version	14508.0	1.0259093119258795e-29	2.462182348622111e-27
eng	berean-literal-bible	new-american-standard-bible	18668.0	5.121112868342186e-19	1.2290670884021247e-16
eng	berean-literal-bible	new-revised-standard-version	10848.0	3.145323565403084e-41	7.548776556967401e-39
eng	berean-literal-bible	bible-in-basic-english	5390.0	4.627921556575286e-62	1.1107011735780686e-59
eng	berean-literal-bible	complete-jewish-bible	1037.0	7.992209702400293e-82	1.9181303285760704e-79
eng	berean-literal-bible	easyenglish-bible	868.0	1.1995756430046559e-82	2.878981543211174e-80
eng	berean-literal-bible	first-nations-version	2.0	6.199338595524195e-87	1.4878412629258067e-84
eng	berean-literal-bible	good-news	4075.0	9.77010633133132e-68	2.344825519519517e-65
eng	berean-literal-bible	jb-phillips-new-testament	4932.0	5.219360615697112e-64	1.2526465477673069e-61
eng	berean-literal-bible	new-living-translation	2956.0	9.109362962063659e-73	2.186247110895278e-70
eng	berean-literal-bible	orthodox-jewish-bible	38.0	9.391817310991407e-87	2.2540361546379375e-84
eng	berean-literal-bible	the-message-bible	946.0	2.8819906781333194e-82	6.916777627519967e-80
eng	disciples-literal-new-testament	literal-standard-version	24514.0	2.9790321730599455e-8	7.1496772153438695e-6
eng	disciples-literal-new-testament	eng-new-world-translation	16294.0	8.221149933272033e-25	1.973075983985288e-22
eng	disciples-literal-new-testament	english-standard-version	22771.0	6.074278013354203e-11	1.4578267232050088e-8
eng	disciples-literal-new-testament	new-american-standard-bible	27196.0	0.00005797363180149127	0.013913671632357905
eng	disciples-literal-new-testament	new-revised-standard-version	18168.0	3.610408321748935e-20	8.664979972197444e-18
eng	disciples-literal-new-testament	bible-in-basic-english	10044.0	5.064131052880683e-44	1.215391452691364e-41
eng	disciples-literal-new-testament	complete-jewish-bible	2648.0	3.4871510831480952e-74	8.369162599555429e-72
eng	disciples-literal-new-testament	easyenglish-bible	2704.0	6.326321096771342e-74	1.518317063225122e-71
eng	disciples-literal-new-testament	first-nations-version	41.0	9.722427013315656e-87	2.333382483195757e-84
eng	disciples-literal-new-testament	good-news	8517.0	1.372585844780832e-49	3.294206027473997e-47
eng	disciples-literal-new-testament	jb-phillips-new-testament	9231.0	6.071622767538321e-47	1.457189464209197e-44
eng	disciples-literal-new-testament	new-living-translation	6974.0	1.4565921752640684e-55	3.4958212206337644e-53
